"PUMFID","WGHT_EPI","DDAY","STARTIME","ENDTIME","STARTMIN","ENDMIN","DURATION","LOCATION","origin","destination","dest","orig","YEAR","MODE"
18187,212.4288,6,1300,1305,780,785,5,14,1,4,"Restaurant, bar or club","home",2005,"walking"
18187,212.4288,6,1355,1400,835,840,5,14,4,1,"home","Restaurant, bar or club",2005,"walking"
18190,534.96,3,845,900,525,540,15,14,1,9,"outdoors","home",2005,"walking"
18190,534.96,3,1100,1115,660,675,15,14,9,1,"home","outdoors",2005,"walking"
18192,372.726,2,1400,1405,840,845,5,14,1,3,"other's home","home",2005,"walking"
18192,372.726,2,1705,1710,1025,1030,5,14,3,1,"home","other's home",2005,"walking"
18194,784.6898,1,1620,1625,980,985,5,14,1,1,"home","home",2005,"walking"
18194,784.6898,1,1655,1700,1015,1020,5,14,1,1,"home","home",2005,"walking"
18203,2781.701,3,1255,1305,775,785,10,14,1,6,"Grocery store, other stores or mall","home",2005,"walking"
18217,623.234,2,720,735,440,455,15,14,1,1,"home","home",2005,"walking"
18217,623.234,2,1600,1615,960,975,15,14,1,1,"home","home",2005,"walking"
18219,2375.978,3,1605,1607,965,967,2,14,1,3,"other's home","home",2005,"walking"
18219,2375.978,3,0,2,1440,1442,2,14,3,1,"home","other's home",2005,"walking"
18227,394.4348,2,1300,1310,780,790,10,14,2,4,"Restaurant, bar or club","work or school",2005,"walking"
18227,394.4348,2,1350,1400,830,840,10,14,4,2,"work or school","Restaurant, bar or club",2005,"walking"
18233,1825.7,5,630,633,390,393,3,14,1,2,"work or school","home",2005,"walking"
18233,1825.7,5,1500,1505,900,905,5,14,2,1,"home","work or school",2005,"walking"
18236,701.4311,2,2000,2015,1200,1215,15,14,3,7,"Grocery store, other stores or mall","other's home",2005,"walking"
18236,701.4311,2,2115,2130,1275,1290,15,14,7,3,"other's home","Grocery store, other stores or mall",2005,"walking"
18237,1903.791,2,1930,1935,1170,1175,5,14,1,9,"outdoors","home",2005,"walking"
18237,1903.791,2,2120,2125,1280,1285,5,14,9,1,"home","outdoors",2005,"walking"
18248,1322.805,2,1200,1205,720,725,5,14,3,3,"other's home","other's home",2005,"walking"
18248,1322.805,2,1405,1410,845,850,5,14,3,3,"other's home","other's home",2005,"walking"
