"PUMFID","WGHT_EPI","DDAY","STARTIME","ENDTIME","STARTMIN","ENDMIN","DURATION","LOCATION","origin","destination","dest","orig","YEAR","MODE"
10007,466.0426,6,1230,1300,750,780,30,315,300,309,"Restaurant, bar or club","home",2015,"walking"
10024,1114.0172,7,950,1010,590,610,20,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10024,1114.0172,7,1020,1040,620,640,20,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10027,801.5155,4,850,900,530,540,10,315,300,301,"work or school","home",2015,"walking"
10027,801.5155,4,1530,1540,930,940,10,315,301,300,"home","work or school",2015,"walking"
10031,1151.6956,3,900,920,540,560,20,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10031,1151.6956,3,1040,1100,640,660,20,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10039,1508.7606,3,900,905,540,545,5,315,300,307,"Library, museum or theatre","home",2015,"walking"
10040,600.362,6,1200,1410,720,850,130,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10040,600.362,6,1550,1600,950,960,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10041,1353.8178,4,825,840,505,520,15,315,300,300,"home","home",2015,"walking"
10042,2341.709,4,1745,1750,1065,1070,5,315,303,300,"home","other's home",2015,"walking"
10048,602.0894,4,615,640,375,400,25,315,300,303,"other's home","home",2015,"walking"
10048,602.0894,4,1200,1210,720,730,10,315,303,306,"Grocery store, other stores or mall","other's home",2015,"walking"
10048,602.0894,4,1255,1305,775,785,10,315,306,303,"other's home","Grocery store, other stores or mall",2015,"walking"
10048,602.0894,4,1350,1415,830,855,25,315,303,300,"home","other's home",2015,"walking"
10050,1695.1639,5,735,740,455,460,5,315,303,300,"home","other's home",2015,"walking"
10055,3831.0042,1,1600,1605,960,965,5,315,309,309,"Restaurant, bar or club","Restaurant, bar or club",2015,"walking"
10056,3433.4602,1,815,820,495,500,5,315,300,301,"work or school","home",2015,"walking"
10056,3433.4602,1,1400,1405,840,845,5,315,301,300,"home","work or school",2015,"walking"
10065,500.3623,3,1200,1245,720,765,45,315,300,300,"home","home",2015,"walking"
10077,1287.0748,2,910,940,550,580,30,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10077,1287.0748,2,1110,1140,670,700,30,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10077,1287.0748,2,1600,1610,960,970,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10077,1287.0748,2,1625,1635,985,995,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10090,1819.8142,7,1800,1810,1080,1090,10,315,303,309,"Restaurant, bar or club","other's home",2015,"walking"
10110,774.7046,3,1530,1540,930,940,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10111,2205.1491,7,2030,2045,1230,1245,15,315,300,309,"Restaurant, bar or club","home",2015,"walking"
10113,5758.03,1,1530,1550,930,950,20,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10113,5758.03,1,1605,1625,965,985,20,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10118,866.9631,2,1315,1325,795,805,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10118,866.9631,2,1345,1355,825,835,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10151,1078.5677,4,750,800,470,480,10,315,300,301,"work or school","home",2015,"walking"
10151,1078.5677,4,1435,1445,875,885,10,315,301,300,"home","work or school",2015,"walking"
10164,2104.3475,6,1300,1320,780,800,20,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10164,2104.3475,6,1530,1550,930,950,20,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10198,2520.928,6,900,925,540,565,25,315,300,301,"work or school","home",2015,"walking"
10198,2520.928,6,2000,2025,1200,1225,25,315,301,300,"home","work or school",2015,"walking"
10218,1643.6214,3,1130,1145,690,705,15,315,300,301,"work or school","home",2015,"walking"
10227,1362.995,7,930,1010,570,610,40,315,300,300,"home","home",2015,"walking"
10229,486.0801,3,1420,1430,860,870,10,315,300,300,"home","home",2015,"walking"
10233,802.8968,2,815,855,495,535,40,315,300,300,"home","home",2015,"walking"
10260,152.1124,1,1545,1555,945,955,10,315,305,300,"home","outdoors",2015,"walking"
10263,1634.4501,5,1100,1115,660,675,15,315,300,301,"work or school","home",2015,"walking"
10263,1634.4501,5,1230,1245,750,765,15,315,301,300,"home","work or school",2015,"walking"
10268,337.4087,3,1900,1910,1140,1150,10,315,300,303,"other's home","home",2015,"walking"
10268,337.4087,3,2030,2040,1230,1240,10,315,303,300,"home","other's home",2015,"walking"
10333,293.7015,1,1240,1250,760,770,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10334,683.6091,5,545,645,345,405,60,315,300,301,"work or school","home",2015,"walking"
10334,683.6091,5,1530,1630,930,990,60,315,301,300,"home","work or school",2015,"walking"
10383,1196.8585,7,1200,1210,720,730,10,315,309,306,"Grocery store, other stores or mall","Restaurant, bar or club",2015,"walking"
10383,1196.8585,7,1310,1320,790,800,10,315,306,303,"other's home","Grocery store, other stores or mall",2015,"walking"
10395,532.0461,4,1150,1205,710,725,15,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10402,2757.8588,1,1350,1405,830,845,15,315,300,303,"other's home","home",2015,"walking"
10402,2757.8588,1,1705,1720,1025,1040,15,315,303,300,"home","other's home",2015,"walking"
10418,2287.7061,4,1235,1245,755,765,10,315,300,303,"other's home","home",2015,"walking"
10437,867.0028,3,730,740,450,460,10,315,300,301,"work or school","home",2015,"walking"
10437,867.0028,3,1830,1840,1110,1120,10,315,301,300,"home","work or school",2015,"walking"
10438,590.4268,5,610,620,370,380,10,315,301,301,"work or school","work or school",2015,"walking"
10442,2900.4853,6,800,815,480,495,15,315,300,301,"work or school","home",2015,"walking"
10442,2900.4853,6,1800,1815,1080,1095,15,315,301,309,"Restaurant, bar or club","work or school",2015,"walking"
10442,2900.4853,6,1930,1935,1170,1175,5,315,309,300,"home","Restaurant, bar or club",2015,"walking"
10447,5483.2731,7,835,1010,515,610,95,315,300,300,"home","home",2015,"walking"
10451,6306.8639,1,1535,1550,935,950,15,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10451,6306.8639,1,1605,1620,965,980,15,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10460,1608.0765,2,850,855,530,535,5,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10466,1457.1354,1,1030,1045,630,645,15,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10466,1457.1354,1,1130,1145,690,705,15,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10469,1441.4188,7,950,955,590,595,5,315,309,300,"home","Restaurant, bar or club",2015,"walking"
10469,1441.4188,7,1440,1500,880,900,20,315,300,300,"home","home",2015,"walking"
10469,1441.4188,7,1530,1555,930,955,25,315,300,310,"Place of worship","home",2015,"walking"
10487,1352.5644,1,1640,1710,1000,1030,30,315,300,303,"other's home","home",2015,"walking"
10487,1352.5644,1,2000,2030,1200,1230,30,315,303,300,"home","other's home",2015,"walking"
10488,8585.4644,4,810,825,490,505,15,315,300,301,"work or school","home",2015,"walking"
10488,8585.4644,4,1500,1510,900,910,10,315,301,309,"Restaurant, bar or club","work or school",2015,"walking"
10503,1187.5814,5,840,845,520,525,5,315,305,309,"Restaurant, bar or club","outdoors",2015,"walking"
10540,833.3518,6,1700,1730,1020,1050,30,315,300,300,"home","home",2015,"walking"
10557,807.7235,7,1030,1035,630,635,5,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10557,807.7235,7,1105,1110,665,670,5,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10561,293.903,6,845,1015,525,615,90,315,300,300,"home","home",2015,"walking"
10572,1253.2733,7,1000,1010,600,610,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10572,1253.2733,7,1020,1030,620,630,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10572,1253.2733,7,1600,1615,960,975,15,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10572,1253.2733,7,1625,1635,985,995,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10573,1631.0923,5,420,450,260,290,30,315,300,301,"work or school","home",2015,"walking"
10573,1631.0923,5,520,530,320,330,10,315,301,301,"work or school","work or school",2015,"walking"
10573,1631.0923,5,1650,1715,1010,1035,25,315,301,300,"home","work or school",2015,"walking"
10575,1666.721,1,930,945,570,585,15,315,300,310,"Place of worship","home",2015,"walking"
10604,1132.8412,5,915,920,555,560,5,315,306,301,"work or school","Grocery store, other stores or mall",2015,"walking"
10612,215.8829,6,750,800,470,480,10,315,300,301,"work or school","home",2015,"walking"
10619,1219.6925,5,540,545,340,345,5,315,300,301,"work or school","home",2015,"walking"
10619,1219.6925,5,830,835,510,515,5,315,301,300,"home","work or school",2015,"walking"
10628,159.3558,1,1100,1110,660,670,10,315,300,301,"work or school","home",2015,"walking"
10628,159.3558,1,1930,1940,1170,1180,10,315,301,300,"home","work or school",2015,"walking"
10637,529.4471,1,930,935,570,575,5,315,300,303,"other's home","home",2015,"walking"
10637,529.4471,1,1105,1110,665,670,5,315,303,300,"home","other's home",2015,"walking"
10652,1662.543,7,1445,1455,885,895,10,315,306,309,"Restaurant, bar or club","Grocery store, other stores or mall",2015,"walking"
10684,195.3883,2,1600,1610,960,970,10,315,303,309,"Restaurant, bar or club","other's home",2015,"walking"
10684,195.3883,2,1640,1650,1000,1010,10,315,309,303,"other's home","Restaurant, bar or club",2015,"walking"
10696,1442.9181,1,1500,1520,900,920,20,315,301,300,"home","work or school",2015,"walking"
10709,1315.921,3,900,905,540,545,5,315,300,301,"work or school","home",2015,"walking"
10709,1315.921,3,1530,1535,930,935,5,315,301,306,"Grocery store, other stores or mall","work or school",2015,"walking"
10709,1315.921,3,2220,2225,1340,1345,5,315,300,301,"work or school","home",2015,"walking"
10709,1315.921,3,2325,2330,1405,1410,5,315,301,300,"home","work or school",2015,"walking"
10710,14635.3718,4,945,1000,585,600,15,315,300,301,"work or school","home",2015,"walking"
10710,14635.3718,4,1430,1440,870,880,10,315,301,300,"home","work or school",2015,"walking"
10710,14635.3718,4,2010,2020,1210,1220,10,315,300,309,"Restaurant, bar or club","home",2015,"walking"
10740,2304.0946,5,2115,2125,1275,1285,10,315,300,309,"Restaurant, bar or club","home",2015,"walking"
10752,848.7368,2,900,915,540,555,15,315,300,300,"home","home",2015,"walking"
10752,848.7368,2,945,1000,585,600,15,315,300,303,"other's home","home",2015,"walking"
10754,935.8385,6,1025,1035,625,635,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10754,935.8385,6,1050,1100,650,660,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10754,935.8385,6,1630,1700,990,1020,30,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10757,2282.4821,4,1600,1615,960,975,15,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10757,2282.4821,4,1625,1635,985,995,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10776,1335.7115,4,1925,1935,1165,1175,10,315,300,305,"outdoors","home",2015,"walking"
10776,1335.7115,4,2135,2145,1295,1305,10,315,305,300,"home","outdoors",2015,"walking"
10785,1561.7905,4,1600,1610,960,970,10,315,301,301,"work or school","work or school",2015,"walking"
10785,1561.7905,4,2100,2110,1260,1270,10,315,301,305,"outdoors","work or school",2015,"walking"
10807,817.5744,1,845,905,525,545,20,315,300,309,"Restaurant, bar or club","home",2015,"walking"
10807,817.5744,1,1120,1130,680,690,10,315,309,310,"Place of worship","Restaurant, bar or club",2015,"walking"
10807,817.5744,1,1935,1945,1175,1185,10,315,309,300,"home","Restaurant, bar or club",2015,"walking"
10820,1095.6175,3,750,800,470,480,10,315,300,301,"work or school","home",2015,"walking"
10820,1095.6175,3,1215,1225,735,745,10,315,301,300,"home","work or school",2015,"walking"
10820,1095.6175,3,1250,1300,770,780,10,315,300,301,"work or school","home",2015,"walking"
10820,1095.6175,3,1630,1640,990,1000,10,315,301,300,"home","work or school",2015,"walking"
10833,1441.3666,1,1200,1210,720,730,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10833,1441.3666,1,1310,1320,790,800,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10835,2324.7406,1,1215,1220,735,740,5,315,300,307,"Library, museum or theatre","home",2015,"walking"
10835,2324.7406,1,1500,1505,900,905,5,315,307,300,"home","Library, museum or theatre",2015,"walking"
10839,875.369,4,725,750,445,470,25,315,300,301,"work or school","home",2015,"walking"
10839,875.369,4,1700,1725,1020,1045,25,315,301,300,"home","work or school",2015,"walking"
10857,3050.1865,4,800,830,480,510,30,315,300,301,"work or school","home",2015,"walking"
10857,3050.1865,4,1510,1530,910,930,20,315,301,300,"home","work or school",2015,"walking"
10893,1904.172,3,900,905,540,545,5,315,301,309,"Restaurant, bar or club","work or school",2015,"walking"
10893,1904.172,3,915,920,555,560,5,315,309,301,"work or school","Restaurant, bar or club",2015,"walking"
10895,760.8356,2,1245,1255,765,775,10,315,300,309,"Restaurant, bar or club","home",2015,"walking"
10895,760.8356,2,1425,1435,865,875,10,315,309,300,"home","Restaurant, bar or club",2015,"walking"
10900,1578.5109,3,1140,1340,700,820,120,315,303,303,"other's home","other's home",2015,"walking"
10904,5338.2215,5,1150,1200,710,720,10,315,300,301,"work or school","home",2015,"walking"
10927,1874.2538,7,730,800,450,480,30,315,300,301,"work or school","home",2015,"walking"
10927,1874.2538,7,1930,2000,1170,1200,30,315,301,300,"home","work or school",2015,"walking"
10928,2834.1724,6,1500,1600,900,960,60,315,300,300,"home","home",2015,"walking"
10934,1907.8789,2,1700,1715,1020,1035,15,315,300,309,"Restaurant, bar or club","home",2015,"walking"
10934,1907.8789,2,1845,1900,1125,1140,15,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10939,1271.6836,5,810,840,490,520,30,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
10948,602.7719,6,1200,1205,720,725,5,315,300,301,"work or school","home",2015,"walking"
10948,602.7719,6,1215,1220,735,740,5,315,301,306,"Grocery store, other stores or mall","work or school",2015,"walking"
10948,602.7719,6,1230,1235,750,755,5,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
10973,3198.7315,2,1115,1125,675,685,10,315,300,300,"home","home",2015,"walking"
10991,635.0642,6,810,825,490,505,15,315,300,301,"work or school","home",2015,"walking"
10994,10731.9484,7,1800,1805,1080,1085,5,315,301,309,"Restaurant, bar or club","work or school",2015,"walking"
10994,10731.9484,7,2105,2110,1265,1270,5,315,309,300,"home","Restaurant, bar or club",2015,"walking"
11005,1703.3247,5,1220,1225,740,745,5,315,309,301,"work or school","Restaurant, bar or club",2015,"walking"
11006,6706.2669,6,1335,1345,815,825,10,315,300,305,"outdoors","home",2015,"walking"
11006,6706.2669,6,1545,1555,945,955,10,315,305,300,"home","outdoors",2015,"walking"
11017,3366.8428,3,1300,1310,780,790,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
11017,3366.8428,3,1320,1330,800,810,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
11019,1074.3098,3,1000,1010,600,610,10,315,305,300,"home","outdoors",2015,"walking"
11019,1074.3098,3,1645,1730,1005,1050,45,315,309,300,"home","Restaurant, bar or club",2015,"walking"
11026,64.6399,3,650,730,410,450,40,315,300,300,"home","home",2015,"walking"
11041,245.0496,6,1630,1710,990,1030,40,315,301,300,"home","work or school",2015,"walking"
11068,1070.6661,6,1000,1010,600,610,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
11068,1070.6661,6,1040,1050,640,650,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
11102,536.3778,4,1200,1215,720,735,15,315,301,309,"Restaurant, bar or club","work or school",2015,"walking"
11102,536.3778,4,1225,1230,745,750,5,315,309,301,"work or school","Restaurant, bar or club",2015,"walking"
11107,1701.2361,1,1030,1100,630,660,30,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
11107,1701.2361,1,1200,1230,720,750,30,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
11114,815.2077,2,1530,1540,930,940,10,315,309,300,"home","Restaurant, bar or club",2015,"walking"
11132,2541.8766,3,1430,1445,870,885,15,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
11132,2541.8766,3,1645,1700,1005,1020,15,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
11166,2279.1252,6,1230,1300,750,780,30,315,300,301,"work or school","home",2015,"walking"
11166,2279.1252,6,1430,1500,870,900,30,315,301,300,"home","work or school",2015,"walking"
11167,3226.4635,3,700,710,420,430,10,315,301,309,"Restaurant, bar or club","work or school",2015,"walking"
11167,3226.4635,3,720,730,440,450,10,315,309,301,"work or school","Restaurant, bar or club",2015,"walking"
11167,3226.4635,3,1500,1510,900,910,10,315,301,309,"Restaurant, bar or club","work or school",2015,"walking"
11167,3226.4635,3,1530,1540,930,940,10,315,309,301,"work or school","Restaurant, bar or club",2015,"walking"
11187,87.8608,5,950,955,590,595,5,315,306,301,"work or school","Grocery store, other stores or mall",2015,"walking"
11225,1935.7947,3,1610,1615,970,975,5,315,306,303,"other's home","Grocery store, other stores or mall",2015,"walking"
11226,1532.9485,3,930,950,570,590,20,315,300,305,"outdoors","home",2015,"walking"
11229,526.5297,6,1510,1522,910,922,12,315,301,306,"Grocery store, other stores or mall","work or school",2015,"walking"
11237,1572.3222,5,830,900,510,540,30,315,300,301,"work or school","home",2015,"walking"
11268,8091.5445,4,805,815,485,495,10,315,300,301,"work or school","home",2015,"walking"
11268,8091.5445,4,1230,1235,750,755,5,315,301,300,"home","work or school",2015,"walking"
11268,8091.5445,4,1320,1325,800,805,5,315,300,301,"work or school","home",2015,"walking"
11268,8091.5445,4,1640,1645,1000,1005,5,315,301,300,"home","work or school",2015,"walking"
11272,1352.8327,3,1055,1105,655,665,10,315,300,309,"Restaurant, bar or club","home",2015,"walking"
11272,1352.8327,3,1115,1125,675,685,10,315,309,300,"home","Restaurant, bar or club",2015,"walking"
11273,2323.3036,6,930,955,570,595,25,315,300,300,"home","home",2015,"walking"
11286,229.4053,7,1050,1115,650,675,25,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
11286,229.4053,7,1200,1210,720,730,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
11291,1518.7816,5,1800,1845,1080,1125,45,315,301,300,"home","work or school",2015,"walking"
11292,192.347,7,715,725,435,445,10,315,303,303,"other's home","other's home",2015,"walking"
11292,192.347,7,1600,1620,960,980,20,315,303,309,"Restaurant, bar or club","other's home",2015,"walking"
11292,192.347,7,0,20,1440,1460,20,315,309,303,"other's home","Restaurant, bar or club",2015,"walking"
11298,370.2332,2,700,710,420,430,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
11298,370.2332,2,740,750,460,470,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
11306,1640.2711,7,910,920,550,560,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
11306,1640.2711,7,1830,1845,1110,1125,15,315,303,309,"Restaurant, bar or club","other's home",2015,"walking"
11316,711.7055,3,1600,1605,960,965,5,315,300,303,"other's home","home",2015,"walking"
11316,711.7055,3,2220,2225,1340,1345,5,315,303,300,"home","other's home",2015,"walking"
11320,449.2223,5,1800,1810,1080,1090,10,315,300,305,"outdoors","home",2015,"walking"
11320,449.2223,5,1940,1950,1180,1190,10,315,305,300,"home","outdoors",2015,"walking"
11335,2160.4996,5,1500,1505,900,905,5,315,300,303,"other's home","home",2015,"walking"
11335,2160.4996,5,1700,1705,1020,1025,5,315,303,300,"home","other's home",2015,"walking"
11348,1385.0172,4,1710,1720,1030,1040,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
11350,2744.2042,1,1520,1540,920,940,20,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
11350,2744.2042,1,1640,1700,1000,1020,20,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
11350,2744.2042,1,1830,1930,1110,1170,60,315,300,300,"home","home",2015,"walking"
11370,1991.6527,6,1930,1940,1170,1180,10,315,309,309,"Restaurant, bar or club","Restaurant, bar or club",2015,"walking"
11370,1991.6527,6,2100,2130,1260,1290,30,315,309,300,"home","Restaurant, bar or club",2015,"walking"
11371,1487.0578,7,1830,1900,1110,1140,30,315,309,300,"home","Restaurant, bar or club",2015,"walking"
11394,1042.092,6,1425,1525,865,925,60,315,300,300,"home","home",2015,"walking"
11395,1891.1082,3,1300,1310,780,790,10,315,300,300,"home","home",2015,"walking"
11395,1891.1082,3,1420,1430,860,870,10,315,300,300,"home","home",2015,"walking"
11398,4479.7617,6,1230,1245,750,765,15,315,300,309,"Restaurant, bar or club","home",2015,"walking"
11398,4479.7617,6,1330,1400,810,840,30,315,309,300,"home","Restaurant, bar or club",2015,"walking"
11398,4479.7617,6,2245,2300,1365,1380,15,315,300,309,"Restaurant, bar or club","home",2015,"walking"
11398,4479.7617,6,30,45,1470,1485,15,315,309,300,"home","Restaurant, bar or club",2015,"walking"
11419,1387.8815,2,1100,1130,660,690,30,315,300,300,"home","home",2015,"walking"
11419,1387.8815,2,1720,1730,1040,1050,10,315,300,303,"other's home","home",2015,"walking"
11419,1387.8815,2,1800,1810,1080,1090,10,315,303,300,"home","other's home",2015,"walking"
11421,2041.1144,1,755,835,475,515,40,315,300,301,"work or school","home",2015,"walking"
11422,925.1702,2,1015,1045,615,645,30,315,300,301,"work or school","home",2015,"walking"
11422,925.1702,2,1700,1730,1020,1050,30,315,301,300,"home","work or school",2015,"walking"
11429,1749.8508,3,1710,1715,1030,1035,5,315,300,303,"other's home","home",2015,"walking"
11429,1749.8508,3,2230,2235,1350,1355,5,315,303,300,"home","other's home",2015,"walking"
11431,488.6077,4,1150,1210,710,730,20,315,300,300,"home","home",2015,"walking"
11440,467.302,1,1250,1305,770,785,15,315,309,300,"home","Restaurant, bar or club",2015,"walking"
11459,976.5257,2,1130,1145,690,705,15,315,300,305,"outdoors","home",2015,"walking"
11459,976.5257,2,1400,1430,840,870,30,315,305,300,"home","outdoors",2015,"walking"
11459,976.5257,2,1500,1510,900,910,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
11459,976.5257,2,1530,1540,930,940,10,315,306,306,"Grocery store, other stores or mall","Grocery store, other stores or mall",2015,"walking"
11459,976.5257,2,1610,1625,970,985,15,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
11489,543.0668,3,1530,1540,930,940,10,315,300,300,"home","home",2015,"walking"
11513,552.5186,3,2100,2130,1260,1290,30,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
11513,552.5186,3,2200,2230,1320,1350,30,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
11520,868.5591,1,1600,1605,960,965,5,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
11520,868.5591,1,1650,1655,1010,1015,5,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
11522,1224.6355,7,1100,1115,660,675,15,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
11522,1224.6355,7,1145,1200,705,720,15,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
11541,423.565,5,840,915,520,555,35,315,300,301,"work or school","home",2015,"walking"
11541,423.565,5,1800,1830,1080,1110,30,315,301,300,"home","work or school",2015,"walking"
11551,994.7815,2,1040,1050,640,650,10,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
11551,994.7815,2,1110,1120,670,680,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
11562,305.4509,7,825,830,505,510,5,315,300,301,"work or school","home",2015,"walking"
11562,305.4509,7,1630,1635,990,995,5,315,301,300,"home","work or school",2015,"walking"
11562,305.4509,7,1715,1735,1035,1055,20,315,300,301,"work or school","home",2015,"walking"
11562,305.4509,7,2200,2220,1320,1340,20,315,301,300,"home","work or school",2015,"walking"
11567,2112.4223,7,1230,1240,750,760,10,315,309,309,"Restaurant, bar or club","Restaurant, bar or club",2015,"walking"
11580,4149.9656,7,1655,1705,1015,1025,10,315,309,309,"Restaurant, bar or club","Restaurant, bar or club",2015,"walking"
11580,4149.9656,7,1805,1820,1085,1100,15,315,309,306,"Grocery store, other stores or mall","Restaurant, bar or club",2015,"walking"
11582,732.9449,5,1200,1210,720,730,10,315,300,309,"Restaurant, bar or club","home",2015,"walking"
11582,732.9449,5,1310,1335,790,815,25,315,309,301,"work or school","Restaurant, bar or club",2015,"walking"
11582,732.9449,5,1700,1720,1020,1040,20,315,301,300,"home","work or school",2015,"walking"
11589,913.8723,4,1300,1310,780,790,10,315,300,303,"other's home","home",2015,"walking"
11589,913.8723,4,1540,1550,940,950,10,315,303,306,"Grocery store, other stores or mall","other's home",2015,"walking"
11589,913.8723,4,1600,1610,960,970,10,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
11621,643.6212,5,830,835,510,515,5,315,300,300,"home","home",2015,"walking"
11623,104.7978,1,1355,1415,835,855,20,315,300,305,"outdoors","home",2015,"walking"
11623,104.7978,1,1630,1645,990,1005,15,315,305,300,"home","outdoors",2015,"walking"
11626,1309.7303,5,755,800,475,480,5,315,300,301,"work or school","home",2015,"walking"
11638,693.4845,2,1215,1220,735,740,5,315,301,300,"home","work or school",2015,"walking"
11643,537.6892,4,720,740,440,460,20,315,300,301,"work or school","home",2015,"walking"
11650,3806.4598,7,1800,1830,1080,1110,30,315,301,300,"home","work or school",2015,"walking"
11654,1659.4239,4,1750,1800,1070,1080,10,315,300,301,"work or school","home",2015,"walking"
11654,1659.4239,4,2300,2310,1380,1390,10,315,301,300,"home","work or school",2015,"walking"
11702,581.8567,7,1300,1305,780,785,5,315,300,303,"other's home","home",2015,"walking"
11702,581.8567,7,1930,1935,1170,1175,5,315,303,300,"home","other's home",2015,"walking"
11708,61.1576,2,1900,1910,1140,1150,10,315,300,300,"home","home",2015,"walking"
11735,1051.9829,2,1200,1220,720,740,20,315,301,301,"work or school","work or school",2015,"walking"
11736,4562.8933,5,815,825,495,505,10,315,300,301,"work or school","home",2015,"walking"
11736,4562.8933,5,1700,1710,1020,1030,10,315,301,300,"home","work or school",2015,"walking"
11741,2782.3617,6,810,830,490,510,20,315,300,301,"work or school","home",2015,"walking"
11741,2782.3617,6,1230,1250,750,770,20,315,301,300,"home","work or school",2015,"walking"
11761,1103.6539,2,1130,1230,690,750,60,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
11761,1103.6539,2,1430,1530,870,930,60,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
11801,753.2441,4,1115,1130,675,690,15,315,300,306,"Grocery store, other stores or mall","home",2015,"walking"
11801,753.2441,4,1150,1205,710,725,15,315,306,300,"home","Grocery store, other stores or mall",2015,"walking"
11812,1258.6244,7,1900,1915,1140,1155,15,315,300,309,"Restaurant, bar or club","home",2015,"walking"
11816,2253.5649,6,1830,1835,1110,1115,5,315,300,305,"outdoors","home",2015,"walking"
11816,2253.5649,6,1910,1915,1150,1155,5,315,305,300,"home","outdoors",2015,"walking"
11893,3999.3031,7,1145,1200,705,720,15,315,303,306,"Grocery store, other stores or mall","other's home",2015,"walking"
11894,2573.6219,4,1410,1420,850,860,10,315,301,306,"Grocery store, other stores or mall","work or school",2015,"walking"
11894,2573.6219,4,1520,1530,920,930,10,315,306,301,"work or school","Grocery store, other stores or mall",2015,"walking"
11927,1920.6213,4,1030,1100,630,660,30,315,309,300,"home","Restaurant, bar or club",2015,"walking"
11930,1174.6602,6,750,755,470,475,5,315,300,310,"Place of worship","home",2015,"walking"
11954,2709.6871,3,915,925,555,565,10,315,301,310,"Place of worship","work or school",2015,"walking"
11954,2709.6871,3,935,945,575,585,10,315,310,307,"Library, museum or theatre","Place of worship",2015,"walking"
